COD_NODE,COD_SUPPLIER,isPotential,pPriceOriginal,pLocationCost,pStationCapacity,pStationUnitCapacity,pCostUnitCapacity
1002,BP,0,1.73,0.0,0,0,0
1025,BP,0,1.55,0.0,0,0,0
1026,BP,0,1.48,0.0,0,0,0
1028,BP,0,1.52,0.0,0,0,0
1029,BP,0,1.45,0.0,0,0,0
1033,BP,0,1.76,0.0,0,0,0
1037,BP,0,1.52,0.0,0,0,0
1047,BP,0,1.74,0.0,0,0,0
108,BP,0,1.7,0.0,0,0,0
1101,BP,0,1.64,0.0,0,0,0
1112,BP,0,1.72,0.0,0,0,0
1124,BP,0,1.43,0.0,0,0,0
1137,BP,0,1.76,0.0,0,0,0
1159,BP,0,1.72,0.0,0,0,0
1186,BP,0,1.52,0.0,0,0,0
1221,BP,0,1.59,0.0,0,0,0
1225,BP,0,1.72,0.0,0,0,0
1231,BP,0,1.8,0.0,0,0,0
1236,BP,0,1.6,0.0,0,0,0
1245,BP,0,1.69,0.0,0,0,0
125,BP,0,1.43,0.0,0,0,0
127,BP,0,1.67,0.0,0,0,0
1273,BP,0,1.51,0.0,0,0,0
1285,BP,0,1.65,0.0,0,0,0
1289,BP,0,1.61,0.0,0,0,0
1300,BP,0,1.46,0.0,0,0,0
1303,BP,0,1.71,0.0,0,0,0
1316,BP,0,1.61,0.0,0,0,0
1365,BP,0,1.7,0.0,0,0,0
1368,BP,0,1.54,0.0,0,0,0
1384,BP,0,1.65,0.0,0,0,0
1397,BP,0,1.4,0.0,0,0,0
1401,BP,0,1.5,0.0,0,0,0
1404,BP,0,1.64,0.0,0,0,0
141,BP,0,1.41,0.0,0,0,0
1410,BP,0,1.52,0.0,0,0,0
1415,BP,0,1.45,0.0,0,0,0
1421,BP,0,1.46,0.0,0,0,0
1429,BP,0,1.69,0.0,0,0,0
1430,BP,0,1.8,0.0,0,0,0
1432,BP,0,1.51,0.0,0,0,0
1434,BP,0,1.45,0.0,0,0,0
1442,BP,0,1.59,0.0,0,0,0
1451,BP,0,1.56,0.0,0,0,0
1452,BP,0,1.52,0.0,0,0,0
1460,BP,0,1.43,0.0,0,0,0
1462,BP,0,1.79,0.0,0,0,0
1463,BP,0,1.72,0.0,0,0,0
1474,BP,0,1.71,0.0,0,0,0
1489,BP,0,1.72,0.0,0,0,0
1490,BP,0,1.75,0.0,0,0,0
1491,BP,0,1.5,0.0,0,0,0
1496,BP,0,1.54,0.0,0,0,0
1498,BP,0,1.61,0.0,0,0,0
15,BP,0,1.42,0.0,0,0,0
1502,BP,0,1.6,0.0,0,0,0
1504,BP,0,1.53,0.0,0,0,0
1526,BP,0,1.65,0.0,0,0,0
1539,BP,0,1.48,0.0,0,0,0
1548,BP,0,1.52,0.0,0,0,0
1554,BP,0,1.5,0.0,0,0,0
1556,BP,0,1.71,0.0,0,0,0
1576,BP,0,1.58,0.0,0,0,0
1591,BP,0,1.66,0.0,0,0,0
1596,BP,0,1.72,0.0,0,0,0
1599,BP,0,1.69,0.0,0,0,0
1600,BP,0,1.5,0.0,0,0,0
1614,BP,0,1.55,0.0,0,0,0
1624,BP,0,1.76,0.0,0,0,0
1625,BP,0,1.42,0.0,0,0,0
1636,BP,0,1.55,0.0,0,0,0
1658,BP,0,1.41,0.0,0,0,0
1666,BP,0,1.41,0.0,0,0,0
1671,BP,0,1.78,0.0,0,0,0
1672,BP,0,1.69,0.0,0,0,0
1677,BP,0,1.72,0.0,0,0,0
1684,BP,0,1.4,0.0,0,0,0
1802,BP,0,1.62,0.0,0,0,0
1837,BP,0,1.67,0.0,0,0,0
19,BP,0,1.46,0.0,0,0,0
1913,BP,0,1.59,0.0,0,0,0
1967,BP,0,1.41,0.0,0,0,0
1977,BP,0,1.5,0.0,0,0,0
1979,BP,0,1.55,0.0,0,0,0
2127,BP,0,1.74,0.0,0,0,0
2143,BP,0,1.52,0.0,0,0,0
2183,BP,0,1.66,0.0,0,0,0
2199,BP,0,1.56,0.0,0,0,0
22,BP,0,1.7,0.0,0,0,0
2204,BP,0,1.78,0.0,0,0,0
2209,BP,0,1.54,0.0,0,0,0
2210,BP,0,1.45,0.0,0,0,0
2212,BP,0,1.55,0.0,0,0,0
2216,BP,0,1.74,0.0,0,0,0
2220,BP,0,1.74,0.0,0,0,0
2221,BP,0,1.69,0.0,0,0,0
2225,BP,0,1.58,0.0,0,0,0
2226,BP,0,1.67,0.0,0,0,0
2231,BP,0,1.66,0.0,0,0,0
2233,BP,0,1.67,0.0,0,0,0
2241,BP,0,1.58,0.0,0,0,0
2246,BP,0,1.6,0.0,0,0,0
2249,BP,0,1.41,0.0,0,0,0
2252,BP,0,1.7,0.0,0,0,0
2259,BP,0,1.58,0.0,0,0,0
2260,BP,0,1.62,0.0,0,0,0
2265,BP,0,1.72,0.0,0,0,0
2266,BP,0,1.66,0.0,0,0,0
2267,BP,0,1.67,0.0,0,0,0
2268,BP,0,1.52,0.0,0,0,0
2277,BP,0,1.49,0.0,0,0,0
2279,BP,0,1.77,0.0,0,0,0
2284,BP,0,1.65,0.0,0,0,0
2291,BP,0,1.52,0.0,0,0,0
2292,BP,0,1.51,0.0,0,0,0
2296,BP,0,1.4,0.0,0,0,0
2328,BP,0,1.59,0.0,0,0,0
2330,BP,0,1.47,0.0,0,0,0
